model_family,n_diag_sec,n_proc_sec,dense_layers,dropouts,accuracy,macro_f1,weighted_f1,top3_accuracy,epochs_run,best_val_loss,seconds
Neural Network,2,12,"[256, 128]","[0.35, 0.25]",0.7735191637630662,0.6744752125313351,0.7620655682155858,0.9533972144126892,11,0.7385722994804382,7.15
Neural Network,2,16,"[256, 128]","[0.35, 0.25]",0.7717770034843205,0.6738485604483789,0.7602023468068742,0.9455574750900269,11,0.7432169318199158,8.0
Neural Network,2,2,"[256, 128]","[0.35, 0.25]",0.7748257839721254,0.6722285747218847,0.7632456474378049,0.9481707215309143,12,0.7417166233062744,5.34
Neural Network,2,4,"[256, 128]","[0.35, 0.25]",0.7709059233449478,0.6697045695421368,0.7604080561589193,0.943379819393158,12,0.730171263217926,5.77
Neural Network,2,6,"[256, 128]","[0.35, 0.25]",0.7752613240418118,0.6664904615409455,0.7634199721345453,0.9442508816719055,11,0.7247689366340637,5.78
Neural Network,2,29,"[256, 128]","[0.35, 0.25]",0.76698606271777,0.6643150647988396,0.7562743140763988,0.9446864128112793,12,0.7439590692520142,11.45
Neural Network,2,20,"[256, 128]","[0.35, 0.25]",0.7639372822299652,0.6634486821874339,0.7511681025064512,0.9407665729522705,11,0.7536777853965759,8.91
Neural Network,2,0,"[256, 128]","[0.35, 0.25]",0.7608885017421603,0.6605316757155985,0.7482214357062319,0.9333623647689819,11,0.776560366153717,4.63
Neural Network,2,10,"[256, 128]","[0.35, 0.25]",0.7678571428571429,0.6598695983195796,0.7566349947980576,0.9390243887901306,11,0.7545993328094482,6.77
Neural Network,0,8,"[256, 128]","[0.35, 0.25]",0.6781358885017421,0.5295133744060531,0.624705085275416,0.9520906209945679,12,0.9476493000984192,6.17
Neural Network,0,6,"[256, 128]","[0.35, 0.25]",0.6755226480836237,0.5282442077706428,0.6227871447983304,0.9507839679718018,12,0.9154219031333923,5.8
Neural Network,0,12,"[256, 128]","[0.35, 0.25]",0.6759581881533101,0.5215988298220872,0.6194762717977248,0.9512194991111755,12,0.9535582661628723,10.4
Neural Network,0,24,"[256, 128]","[0.35, 0.25]",0.6781358885017421,0.5183246900330556,0.6231110648270707,0.9494773745536804,12,0.9516646862030029,11.46
Neural Network,0,20,"[256, 128]","[0.35, 0.25]",0.6746515679442509,0.5121838570391967,0.6188317694341255,0.946864128112793,12,0.9606356024742126,10.13
Neural Network,0,16,"[256, 128]","[0.35, 0.25]",0.6755226480836237,0.5063556476851605,0.6171903304197675,0.9477351903915405,12,0.9658413529396057,13.47
Neural Network,0,10,"[256, 128]","[0.35, 0.25]",0.679006968641115,0.5062723525570608,0.6164119423135926,0.9481707215309143,12,0.948819637298584,6.5
Neural Network,0,2,"[256, 128]","[0.35, 0.25]",0.6759581881533101,0.5026906281235591,0.608043413788287,0.9494773745536804,12,0.9614737033843994,4.96
Neural Network,0,0,"[256, 128]","[0.35, 0.25]",0.6594076655052264,0.4973008239968617,0.5958762395830883,0.9394599199295044,12,0.9991334080696106,4.73
Neural Network,0,4,"[256, 128]","[0.35, 0.25]",0.6685540069686411,0.49566824003319077,0.6080195233132192,0.9472996592521667,12,0.9173457622528076,5.77
Neural Network,0,29,"[256, 128]","[0.35, 0.25]",0.6663763066202091,0.49397539964435255,0.6067436760292808,0.9398954510688782,12,0.9448856115341187,11.44
