accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,top3_accuracy,model_family,n_diag_sec,n_proc_sec,main_hyperparameters,seconds
0.6733449477351916,0.5691642094559917,0.6673036784931661,0.6032570856156044,0.5741773575903444,0.8972125435540069,Random Forest,20,0,"300 trees, balanced_subsample, sqrt features",1.52
0.6567944250871081,0.5683906077627587,0.644876509540047,0.5790674703792859,0.5813782580697915,0.9263937282229965,Random Forest,2,4,"300 trees, balanced_subsample, sqrt features",1.44
0.6711672473867596,0.5664204536208607,0.6579113661630123,0.5897925173444026,0.5713885255958034,0.9163763066202091,Random Forest,16,8,"300 trees, balanced_subsample, sqrt features",1.63
0.6681184668989547,0.5658210923527787,0.6618154215700008,0.5822165731652855,0.5742645215067429,0.8937282229965157,Random Forest,34,0,"300 trees, balanced_subsample, sqrt features",1.47
0.6720383275261324,0.5654019641761066,0.6598092250665135,0.5941408640766715,0.571302708336313,0.9102787456445993,Random Forest,12,6,"300 trees, balanced_subsample, sqrt features",1.54
0.6655052264808362,0.5637254657352297,0.653355988735408,0.5979888879231542,0.5666970640089577,0.9172473867595818,Random Forest,4,10,"300 trees, balanced_subsample, sqrt features",1.53
0.6663763066202091,0.5624795305406229,0.6593252821603872,0.58653802097039,0.5702907006888802,0.8967770034843205,Random Forest,28,0,"300 trees, balanced_subsample, sqrt features",1.68
0.6672473867595818,0.5623317170238594,0.6551356157119853,0.5867075904657222,0.5695771692990946,0.9107142857142857,Random Forest,20,4,"300 trees, balanced_subsample, sqrt features",1.63
0.6668118466898955,0.5592852731820264,0.6511066326099855,0.5879718933519711,0.5659012190685627,0.914198606271777,Random Forest,10,12,"300 trees, balanced_subsample, sqrt features",1.63
0.6485191637630662,0.5591203008305022,0.6404001019195183,0.5661481991250469,0.5716383789378116,0.9137630662020906,Random Forest,2,2,"300 trees, balanced_subsample, sqrt features",1.31
0.6615853658536586,0.5589807587665959,0.6499979183092884,0.5901973770932696,0.5609180893304121,0.9094076655052264,Random Forest,24,8,"300 trees, balanced_subsample, sqrt features",1.69
0.6659407665505227,0.5589567257707645,0.6508925848050967,0.586152588738532,0.5653116615915655,0.9229094076655052,Random Forest,8,8,"300 trees, balanced_subsample, sqrt features",1.55
0.6602787456445993,0.5587129242580923,0.6488618320100896,0.5805923571690764,0.564688940492409,0.9163763066202091,Random Forest,4,6,"300 trees, balanced_subsample, sqrt features",1.48
0.6607142857142857,0.556758842203442,0.6449776790926562,0.5943690968254995,0.5603334436197311,0.9115853658536586,Random Forest,4,12,"300 trees, balanced_subsample, sqrt features",1.56
0.662020905923345,0.5543470950899052,0.6476596120319229,0.5801012764536342,0.560084633520796,0.912020905923345,Random Forest,12,12,"300 trees, balanced_subsample, sqrt features",1.63
0.6467770034843205,0.5541230233259725,0.6349664746306594,0.5696782744757555,0.5642582492376219,0.9133275261324042,Random Forest,2,6,"300 trees, balanced_subsample, sqrt features",1.46
0.6537456445993032,0.5537237028517961,0.6446372295978011,0.5695362364871479,0.5622477926567728,0.9024390243902439,Random Forest,24,4,"300 trees, balanced_subsample, sqrt features",1.59
0.6498257839721254,0.5531673324967985,0.640949928178354,0.576953114143738,0.5563368238685534,0.899390243902439,Random Forest,28,6,"300 trees, balanced_subsample, sqrt features",1.63
0.6567944250871081,0.5531534326117815,0.6499362851697985,0.5674688490813137,0.5634057316712751,0.9006968641114983,Random Forest,28,2,"300 trees, balanced_subsample, sqrt features",1.54
0.6615853658536586,0.5529867445940178,0.6446537065157556,0.585077857484247,0.5592672534379577,0.9128919860627178,Random Forest,6,16,"300 trees, balanced_subsample, sqrt features",1.65
0.6598432055749129,0.5525320625787461,0.6495337376062496,0.5738431321034972,0.5600623230577501,0.9098432055749129,Random Forest,16,4,"300 trees, balanced_subsample, sqrt features",1.54
0.6581010452961672,0.5523439144691621,0.6513565631824861,0.5685204236940932,0.5604820559803654,0.8963414634146342,Random Forest,34,2,"300 trees, balanced_subsample, sqrt features",1.53
0.6615853658536586,0.5509361832716196,0.6464466481644662,0.5839031479486184,0.554144256093554,0.9081010452961672,Random Forest,10,16,"300 trees, balanced_subsample, sqrt features",1.7
0.6663763066202091,0.5505479078594825,0.6503076573126982,0.5840905784277025,0.5550547875642318,0.9089721254355401,Random Forest,16,16,"300 trees, balanced_subsample, sqrt features",1.73
0.6546167247386759,0.550172870938229,0.6450366038141369,0.5724333756007753,0.5583295623179341,0.9054878048780488,Random Forest,28,4,"300 trees, balanced_subsample, sqrt features",1.7
0.6633275261324042,0.5496403326301686,0.6475661722622245,0.5714963508468347,0.5567346957709282,0.9089721254355401,Random Forest,8,10,"300 trees, balanced_subsample, sqrt features",1.59
0.6655052264808362,0.5471266016406151,0.6497002921607526,0.5775983467756721,0.5546729490419371,0.9133275261324042,Random Forest,10,8,"300 trees, balanced_subsample, sqrt features",1.54
0.6637630662020906,0.5448580393544681,0.6455909245620604,0.5787488381608917,0.548621221962904,0.9111498257839721,Random Forest,8,16,"300 trees, balanced_subsample, sqrt features",1.63
0.6589721254355401,0.5438749019744095,0.643157913312804,0.5767039489770076,0.5463410945125395,0.9054878048780488,Random Forest,12,20,"300 trees, balanced_subsample, sqrt features",1.8
0.6602787456445993,0.5419637458401457,0.6451902617408111,0.5845737849470468,0.5453881486093498,0.9098432055749129,Random Forest,10,10,"300 trees, balanced_subsample, sqrt features",1.6
0.6611498257839721,0.5418144368286195,0.6464940916966879,0.5712572899242765,0.5486454369883926,0.9041811846689896,Random Forest,16,10,"300 trees, balanced_subsample, sqrt features",1.68
